OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape_Leng,Shape_Area,Med_HH_Inc,Pop_100,Expec_Cnt,Expec_Doll,Actual_Cnt,Actual_Dol,Diff_Cnt,Diff_Dolla,Pop_Sq_Mi,Sq_Mi,Pct_White,White_Pop,MED_HH_I_1,OBS_EXP_DL,Dollars_pe,nonHispani,PctNonHisp,DOL_PER_PE,Eight_pct,Third_cont,HH_contrib,HH_dollars,HH_Bins
1,53,033,012100,2,530330121002,Block Group 2,G5030,S,872406,201765,+47.5022795,-122.3781750,16708.018882,11562191.7861,90536,1524,22,4321,4,639,-18,-3682,3675,0.414737,0.841207,1282,02 Med Low,01 Low,0.419291,1247,0.818241,01 Low,122,213,6313,4.14239,02 Med Low
2,53,033,012100,1,530330121001,Block Group 1,G5030,S,848889,1197739,+47.5081679,-122.3910859,29023.744152,22029582.4685,104088,1157,16,3280,32,11685,16,8405,1464,0.790203,0.884183,1023,02 Med Low,03 Med High,10.0994,1003,0.866897,03 Med High,93,3895,8545,7.38548,03 Med High
3,53,033,012000,3,530330120003,Block Group 3,G5030,S,472691,0,+47.5148103,-122.3860011,10330.377508,5087973.25422,93571,1092,15,3096,10,1870,-5,-1226,5983,0.182506,0.847985,926,02 Med Low,01 Low,1.71245,869,0.795788,01 Low,87,623.333,4973,4.55403,02 Med Low
4,53,033,012000,1,530330120001,Block Group 1,G5030,S,466107,0,+47.5141277,-122.3754368,10651.512633,5017072.11161,60556,1082,15,3068,3,137,-12,-2931,6012,0.179963,0.784658,849,01 Low,01 Low,0.126617,805,0.743993,01 Low,87,45.6666,4396,4.06285,02 Med Low
5,53,033,006300,2,530330063002,Block Group 2,G5030,S,555262,1587006,+47.6308773,-122.2770060,23646.138426,23058066.2642,108015,1317,19,3734,85,24890,66,21156,1592,0.827094,0.941534,1240,02 Med Low,04 High,18.899,1226,0.930904,04 High,105,8296.66,13547,10.2863,03 Med High
6,53,033,006300,1,530330063001,Block Group 1,G5030,S,225548,1797897,+47.6405420,-122.2766660,24040.995084,21779056.3027,73850,1280,18,3629,45,10571,27,6942,1638,0.781216,0.902344,1155,02 Med Low,03 Med High,8.25859,1125,0.878906,03 Med High,102,3523.66,8624,6.7375,03 Med High
7,53,033,006200,2,530330062002,Block Group 2,G5030,S,569988,72936,+47.6420415,-122.3060216,11749.567361,6919980.29302,113333,1475,21,4182,48,8045,27,3863,5942,0.24822,0.867797,1280,03 Med High,03 Med High,5.45424,1262,0.855593,02 Med Low,118,2681.66,8582,5.81831,02 Med Low
8,53,033,006200,3,530330062003,Block Group 3,G5030,S,606904,0,+47.6358768,-122.3090446,13453.040117,6532332.02172,134583,1007,14,2855,48,10559,34,7704,4298,0.234315,0.866931,873,03 Med High,03 Med High,10.4856,859,0.853029,03 Med High,81,3519.66,7570,7.51738,03 Med High
9,53,033,006200,1,530330062001,Block Group 1,G5030,S,1553988,212696,+47.6404204,-122.2954056,25729.34194,19015571.1386,105978,1366,19,3873,56,12889,37,9016,2003,0.68209,0.837482,1144,02 Med Low,03 Med High,9.43558,1099,0.804539,03 Med High,109,4296.33,9746,7.1347,03 Med High
10,53,033,006100,3,530330061003,Block Group 3,G5030,S,258259,224925,+47.6472852,-122.3252065,10181.473245,5200700.08274,68605,1324,19,3754,42,8480,23,4726,7097,0.186549,0.837613,1109,01 Low,03 Med High,6.40483,1080,0.81571,03 Med High,106,2826.66,8127,6.13822,02 Med Low
11,53,033,006100,4,530330061004,Block Group 4,G5030,S,232202,181899,+47.6414891,-122.3287539,10737.05491,4457118.09522,57045,1159,16,3286,26,5360,10,2074,7249,0.159877,0.863676,1001,01 Low,02 Med Low,4.62468,983,0.848145,02 Med Low,93,1786.66,6437,5.55393,02 Med Low
12,53,033,006100,1,530330061001,Block Group 1,G5030,S,276011,106606,+47.6482498,-122.3201878,10411.271795,4118238.25488,94826,1214,17,3442,26,4945,9,1503,8218,0.147721,0.879736,1068,02 Med Low,02 Med Low,4.07331,1041,0.857496,02 Med Low,97,1648.33,6498,5.35255,02 Med Low
